,state,year,cases_new
1,Johor,2021,199635
3,Kedah,2021,137444
5,Kelantan,2021,124684
7,Melaka,2021,59581
9,Negeri Sembilan,2021,91253
11,Pahang,2021,69086
13,Perak,2021,105924
15,Perlis,2021,4584
17,Penang,2021,133391
19,Sabah,2021,168476
21,Sarawak,2021,223522
23,Selangor,2021,657937
25,Terengganu,2021,61799
27,Kuala Lumpur,2021,174816
29,Labuan,2021,8286
31,Putrajaya,2021,6166
