date,state,cases_new,Total cases as of date
5/2/2020,Labuan,0,0
5/2/2020,Putrajaya,0,0
6/2/2020,Johor,0,7
6/2/2020,Kedah,1,2
6/2/2020,Kelantan,0,0
6/2/2020,Melaka,0,0
6/2/2020,Negeri Sembilan,0,2
6/2/2020,Pahang,0,0
6/2/2020,Perak,0,0
6/2/2020,Perlis,0,0
6/2/2020,Penang,0,0
6/2/2020,Sabah,0,0
6/2/2020,Sarawak,0,0
6/2/2020,Selangor,0,1
6/2/2020,Terengganu,0,0
6/2/2020,Kuala Lumpur,1,2
6/2/2020,Labuan,0,0
6/2/2020,Putrajaya,0,0
7/2/2020,Johor,1,8
7/2/2020,Kedah,0,2
7/2/2020,Kelantan,0,0
7/2/2020,Melaka,0,0
7/2/2020,Negeri Sembilan,0,2
7/2/2020,Pahang,0,0
7/2/2020,Perak,0,0
7/2/2020,Perlis,0,0
7/2/2020,Penang,0,0
7/2/2020,Sabah,0,0
7/2/2020,Sarawak,0,0
7/2/2020,Selangor,0,1
7/2/2020,Terengganu,0,0
7/2/2020,Kuala Lumpur,0,2
7/2/2020,Labuan,0,0
7/2/2020,Putrajaya,0,0
8/2/2020,Johor,0,8
8/2/2020,Kedah,0,2
8/2/2020,Kelantan,0,0
8/2/2020,Melaka,0,0
8/2/2020,Negeri Sembilan,0,2
8/2/2020,Pahang,0,0
8/2/2020,Perak,0,0
8/2/2020,Perlis,0,0
8/2/2020,Penang,0,0
8/2/2020,Sabah,0,0
8/2/2020,Sarawak,0,0
8/2/2020,Selangor,0,1
8/2/2020,Terengganu,0,0
8/2/2020,Kuala Lumpur,1,3
8/2/2020,Labuan,0,0
8/2/2020,Putrajaya,0,0
9/2/2020,Johor,0,8
9/2/2020,Kedah,0,2
9/2/2020,Kelantan,0,0
9/2/2020,Melaka,0,0
9/2/2020,Negeri Sembilan,0,2
9/2/2020,Pahang,0,0
9/2/2020,Perak,0,0
9/2/2020,Perlis,0,0
9/2/2020,Penang,0,0
9/2/2020,Sabah,0,0
9/2/2020,Sarawak,0,0
9/2/2020,Selangor,1,2
9/2/2020,Terengganu,0,0
9/2/2020,Kuala Lumpur,0,3
9/2/2020,Labuan,0,0
9/2/2020,Putrajaya,0,0
10/2/2020,Johor,0,8
10/2/2020,Kedah,0,2
10/2/2020,Kelantan,0,0
10/2/2020,Melaka,0,0
10/2/2020,Negeri Sembilan,0,2
10/2/2020,Pahang,0,0
10/2/2020,Perak,0,0
10/2/2020,Perlis,0,0
10/2/2020,Penang,0,0
10/2/2020,Sabah,0,0
10/2/2020,Sarawak,0,0
10/2/2020,Selangor,1,3
10/2/2020,Terengganu,0,0
10/2/2020,Kuala Lumpur,0,3
10/2/2020,Labuan,0,0
10/2/2020,Putrajaya,0,0
11/2/2020,Johor,0,8
11/2/2020,Kedah,0,2
11/2/2020,Kelantan,0,0
11/2/2020,Melaka,0,0
11/2/2020,Negeri Sembilan,0,2
11/2/2020,Pahang,0,0
11/2/2020,Perak,0,0
11/2/2020,Perlis,0,0
11/2/2020,Penang,0,0
11/2/2020,Sabah,0,0
11/2/2020,Sarawak,0,0
11/2/2020,Selangor,0,3
11/2/2020,Terengganu,0,0
11/2/2020,Kuala Lumpur,0,3
11/2/2020,Labuan,0,0
11/2/2020,Putrajaya,0,0
12/2/2020,Johor,0,8
12/2/2020,Kedah,0,2
12/2/2020,Kelantan,0,0
12/2/2020,Melaka,0,0
12/2/2020,Negeri Sembilan,0,2
12/2/2020,Pahang,0,0
12/2/2020,Perak,0,0
12/2/2020,Perlis,0,0
12/2/2020,Penang,0,0
12/2/2020,Sabah,0,0
12/2/2020,Sarawak,0,0
12/2/2020,Selangor,0,3
12/2/2020,Terengganu,0,0
12/2/2020,Kuala Lumpur,0,3
12/2/2020,Labuan,0,0
12/2/2020,Putrajaya,0,0
13/2/2020,Johor,0,8
13/2/2020,Kedah,0,2
13/2/2020,Kelantan,0,0
13/2/2020,Melaka,0,0
13/2/2020,Negeri Sembilan,0,2
13/2/2020,Pahang,0,0
13/2/2020,Perak,0,0
13/2/2020,Perlis,0,0
13/2/2020,Penang,0,0
13/2/2020,Sabah,0,0
13/2/2020,Sarawak,0,0
13/2/2020,Selangor,0,3
13/2/2020,Terengganu,0,0
13/2/2020,Kuala Lumpur,0,3
13/2/2020,Labuan,0,0
13/2/2020,Putrajaya,0,0
14/2/2020,Johor,0,8
14/2/2020,Kedah,0,2
14/2/2020,Kelantan,0,0
14/2/2020,Melaka,0,0
14/2/2020,Negeri Sembilan,0,2
14/2/2020,Pahang,0,0
14/2/2020,Perak,0,0
14/2/2020,Perlis,0,0
14/2/2020,Penang,0,0
14/2/2020,Sabah,0,0
14/2/2020,Sarawak,0,0
14/2/2020,Selangor,0,3
14/2/2020,Terengganu,0,0
14/2/2020,Kuala Lumpur,1,4
14/2/2020,Labuan,0,0
14/2/2020,Putrajaya,0,0
15/2/2020,Johor,0,8
15/2/2020,Kedah,1,3
15/2/2020,Kelantan,0,0
15/2/2020,Melaka,0,0
15/2/2020,Negeri Sembilan,0,2
15/2/2020,Pahang,0,0
15/2/2020,Perak,0,0
15/2/2020,Perlis,0,0
15/2/2020,Penang,0,0
15/2/2020,Sabah,0,0
15/2/2020,Sarawak,0,0
15/2/2020,Selangor,2,5
15/2/2020,Terengganu,0,0
15/2/2020,Kuala Lumpur,0,4
15/2/2020,Labuan,0,0
15/2/2020,Putrajaya,0,0
16/2/2020,Johor,0,8
16/2/2020,Kedah,0,3
16/2/2020,Kelantan,0,0
16/2/2020,Melaka,0,0
16/2/2020,Negeri Sembilan,0,2
16/2/2020,Pahang,0,0
16/2/2020,Perak,0,0
16/2/2020,Perlis,0,0
16/2/2020,Penang,0,0
16/2/2020,Sabah,0,0
16/2/2020,Sarawak,0,0
16/2/2020,Selangor,0,5
16/2/2020,Terengganu,0,0
16/2/2020,Kuala Lumpur,0,4
16/2/2020,Labuan,0,0
16/2/2020,Putrajaya,0,0
17/2/2020,Johor,0,8
17/2/2020,Kedah,0,3
17/2/2020,Kelantan,0,0
17/2/2020,Melaka,0,0
17/2/2020,Negeri Sembilan,0,2
17/2/2020,Pahang,0,0
17/2/2020,Perak,0,0
17/2/2020,Perlis,0,0
17/2/2020,Penang,0,0
17/2/2020,Sabah,0,0
17/2/2020,Sarawak,0,0
17/2/2020,Selangor,0,5
17/2/2020,Terengganu,0,0
17/2/2020,Kuala Lumpur,0,4
17/2/2020,Labuan,0,0
17/2/2020,Putrajaya,0,0
18/2/2020,Johor,0,8
18/2/2020,Kedah,0,3
18/2/2020,Kelantan,0,0
18/2/2020,Melaka,0,0
18/2/2020,Negeri Sembilan,0,2
18/2/2020,Pahang,0,0
18/2/2020,Perak,0,0
18/2/2020,Perlis,0,0
18/2/2020,Penang,0,0
18/2/2020,Sabah,0,0
18/2/2020,Sarawak,0,0
18/2/2020,Selangor,0,5
18/2/2020,Terengganu,0,0
18/2/2020,Kuala Lumpur,0,4
18/2/2020,Labuan,0,0
18/2/2020,Putrajaya,0,0
19/2/2020,Johor,0,8
19/2/2020,Kedah,0,3
19/2/2020,Kelantan,0,0
19/2/2020,Melaka,0,0
19/2/2020,Negeri Sembilan,0,2
19/2/2020,Pahang,0,0
19/2/2020,Perak,0,0
19/2/2020,Perlis,0,0
19/2/2020,Penang,0,0
19/2/2020,Sabah,0,0
19/2/2020,Sarawak,0,0
19/2/2020,Selangor,0,5
19/2/2020,Terengganu,0,0
19/2/2020,Kuala Lumpur,0,4
19/2/2020,Labuan,0,0
19/2/2020,Putrajaya,0,0
20/2/2020,Johor,0,8
20/2/2020,Kedah,0,3
20/2/2020,Kelantan,0,0
20/2/2020,Melaka,0,0
20/2/2020,Negeri Sembilan,0,2
20/2/2020,Pahang,0,0
20/2/2020,Perak,0,0
20/2/2020,Perlis,0,0
20/2/2020,Penang,0,0
20/2/2020,Sabah,0,0
20/2/2020,Sarawak,0,0
20/2/2020,Selangor,0,5
20/2/2020,Terengganu,0,0
20/2/2020,Kuala Lumpur,0,4
20/2/2020,Labuan,0,0
20/2/2020,Putrajaya,0,0
21/2/2020,Johor,0,8
21/2/2020,Kedah,0,3
21/2/2020,Kelantan,0,0
21/2/2020,Melaka,0,0
21/2/2020,Negeri Sembilan,0,2
21/2/2020,Pahang,0,0
21/2/2020,Perak,0,0
21/2/2020,Perlis,0,0
21/2/2020,Penang,0,0
21/2/2020,Sabah,0,0
21/2/2020,Sarawak,0,0
21/2/2020,Selangor,0,5
21/2/2020,Terengganu,0,0
21/2/2020,Kuala Lumpur,0,4
21/2/2020,Labuan,0,0
21/2/2020,Putrajaya,0,0
22/2/2020,Johor,0,8
22/2/2020,Kedah,0,3
22/2/2020,Kelantan,0,0
22/2/2020,Melaka,0,0
22/2/2020,Negeri Sembilan,0,2
22/2/2020,Pahang,0,0
22/2/2020,Perak,0,0
22/2/2020,Perlis,0,0
22/2/2020,Penang,0,0
22/2/2020,Sabah,0,0
22/2/2020,Sarawak,0,0
22/2/2020,Selangor,0,5
22/2/2020,Terengganu,0,0
22/2/2020,Kuala Lumpur,0,4
22/2/2020,Labuan,0,0
22/2/2020,Putrajaya,0,0
23/2/2020,Johor,0,8
23/2/2020,Kedah,0,3
23/2/2020,Kelantan,0,0
23/2/2020,Melaka,0,0
23/2/2020,Negeri Sembilan,0,2
23/2/2020,Pahang,0,0
23/2/2020,Perak,0,0
23/2/2020,Perlis,0,0
23/2/2020,Penang,0,0
23/2/2020,Sabah,0,0
23/2/2020,Sarawak,0,0
23/2/2020,Selangor,0,5
23/2/2020,Terengganu,0,0
23/2/2020,Kuala Lumpur,0,4
23/2/2020,Labuan,0,0
23/2/2020,Putrajaya,0,0
24/2/2020,Johor,0,8
24/2/2020,Kedah,0,3
24/2/2020,Kelantan,0,0
24/2/2020,Melaka,0,0
24/2/2020,Negeri Sembilan,0,2
24/2/2020,Pahang,0,0
24/2/2020,Perak,0,0
24/2/2020,Perlis,0,0
24/2/2020,Penang,0,0
24/2/2020,Sabah,0,0
24/2/2020,Sarawak,0,0
24/2/2020,Selangor,0,5
24/2/2020,Terengganu,0,0
24/2/2020,Kuala Lumpur,0,4
24/2/2020,Labuan,0,0
24/2/2020,Putrajaya,0,0
25/2/2020,Johor,0,8
25/2/2020,Kedah,0,3
25/2/2020,Kelantan,0,0
25/2/2020,Melaka,0,0
25/2/2020,Negeri Sembilan,0,2
25/2/2020,Pahang,0,0
25/2/2020,Perak,0,0
25/2/2020,Perlis,0,0
25/2/2020,Penang,0,0
25/2/2020,Sabah,0,0
25/2/2020,Sarawak,0,0
25/2/2020,Selangor,0,5
25/2/2020,Terengganu,0,0
25/2/2020,Kuala Lumpur,0,4
25/2/2020,Labuan,0,0
25/2/2020,Putrajaya,0,0
26/2/2020,Johor,0,8
26/2/2020,Kedah,0,3
26/2/2020,Kelantan,0,0
26/2/2020,Melaka,0,0
26/2/2020,Negeri Sembilan,0,2
26/2/2020,Pahang,0,0
26/2/2020,Perak,0,0
26/2/2020,Perlis,0,0
26/2/2020,Penang,0,0
26/2/2020,Sabah,0,0
26/2/2020,Sarawak,0,0
26/2/2020,Selangor,0,5
26/2/2020,Terengganu,0,0
26/2/2020,Kuala Lumpur,0,4
26/2/2020,Labuan,0,0
26/2/2020,Putrajaya,0,0
27/2/2020,Johor,0,8
27/2/2020,Kedah,0,3
27/2/2020,Kelantan,0,0
27/2/2020,Melaka,0,0
27/2/2020,Negeri Sembilan,0,2
27/2/2020,Pahang,0,0
27/2/2020,Perak,0,0
27/2/2020,Perlis,0,0
27/2/2020,Penang,0,0
27/2/2020,Sabah,0,0
27/2/2020,Sarawak,0,0
27/2/2020,Selangor,1,6
27/2/2020,Terengganu,0,0
27/2/2020,Kuala Lumpur,0,4
27/2/2020,Labuan,0,0
27/2/2020,Putrajaya,0,0
28/2/2020,Johor,0,8
28/2/2020,Kedah,0,3
28/2/2020,Kelantan,0,0
28/2/2020,Melaka,0,0
28/2/2020,Negeri Sembilan,0,2
28/2/2020,Pahang,0,0
28/2/2020,Perak,0,0
28/2/2020,Perlis,0,0
28/2/2020,Penang,0,0
28/2/2020,Sabah,0,0
28/2/2020,Sarawak,0,0
28/2/2020,Selangor,1,7
28/2/2020,Terengganu,0,0
28/2/2020,Kuala Lumpur,1,5
28/2/2020,Labuan,0,0
28/2/2020,Putrajaya,0,0
29/2/2020,Johor,0,8
29/2/2020,Kedah,0,3
29/2/2020,Kelantan,0,0
29/2/2020,Melaka,0,0
29/2/2020,Negeri Sembilan,0,2
29/2/2020,Pahang,0,0
29/2/2020,Perak,0,0
29/2/2020,Perlis,0,0
29/2/2020,Penang,0,0
29/2/2020,Sabah,0,0
29/2/2020,Sarawak,0,0
29/2/2020,Selangor,0,7
29/2/2020,Terengganu,0,0
29/2/2020,Kuala Lumpur,0,5
29/2/2020,Labuan,0,0
29/2/2020,Putrajaya,0,0
1/3/2020,Johor,0,8
1/3/2020,Kedah,0,3
1/3/2020,Kelantan,0,0
1/3/2020,Melaka,0,0
1/3/2020,Negeri Sembilan,0,2
1/3/2020,Pahang,0,0
1/3/2020,Perak,0,0
1/3/2020,Perlis,0,0
1/3/2020,Penang,0,0
1/3/2020,Sabah,0,0
1/3/2020,Sarawak,0,0
1/3/2020,Selangor,4,11
1/3/2020,Terengganu,0,0
1/3/2020,Kuala Lumpur,0,5
1/3/2020,Labuan,0,0
1/3/2020,Putrajaya,0,0
2/3/2020,Johor,0,8
2/3/2020,Kedah,0,3
2/3/2020,Kelantan,0,0
2/3/2020,Melaka,0,0
2/3/2020,Negeri Sembilan,0,2
2/3/2020,Pahang,0,0
2/3/2020,Perak,0,0
2/3/2020,Perlis,0,0
2/3/2020,Penang,0,0
2/3/2020,Sabah,0,0
2/3/2020,Sarawak,0,0
2/3/2020,Selangor,0,11
2/3/2020,Terengganu,0,0
2/3/2020,Kuala Lumpur,0,5
2/3/2020,Labuan,0,0
2/3/2020,Putrajaya,0,0
3/3/2020,Johor,0,8
3/3/2020,Kedah,0,3
3/3/2020,Kelantan,0,0
3/3/2020,Melaka,0,0
3/3/2020,Negeri Sembilan,0,2
3/3/2020,Pahang,0,0
3/3/2020,Perak,0,0
3/3/2020,Perlis,0,0
3/3/2020,Penang,0,0
3/3/2020,Sabah,0,0
3/3/2020,Sarawak,0,0
3/3/2020,Selangor,6,17
3/3/2020,Terengganu,0,0
3/3/2020,Kuala Lumpur,0,5
3/3/2020,Labuan,0,0
3/3/2020,Putrajaya,1,1
4/3/2020,Johor,1,9
4/3/2020,Kedah,0,3
4/3/2020,Kelantan,0,0
4/3/2020,Melaka,0,0
4/3/2020,Negeri Sembilan,2,4
4/3/2020,Pahang,0,0
4/3/2020,Perak,0,0
4/3/2020,Perlis,0,0
4/3/2020,Penang,0,0
4/3/2020,Sabah,0,0
4/3/2020,Sarawak,0,0
4/3/2020,Selangor,7,24
4/3/2020,Terengganu,0,0
4/3/2020,Kuala Lumpur,3,8
4/3/2020,Labuan,0,0
4/3/2020,Putrajaya,1,2
5/3/2020,Johor,0,9
5/3/2020,Kedah,0,3
5/3/2020,Kelantan,0,0
5/3/2020,Melaka,0,0
5/3/2020,Negeri Sembilan,0,4
5/3/2020,Pahang,0,0
5/3/2020,Perak,0,0
5/3/2020,Perlis,0,0
5/3/2020,Penang,0,0
5/3/2020,Sabah,0,0
5/3/2020,Sarawak,0,0
5/3/2020,Selangor,4,28
5/3/2020,Terengganu,0,0
5/3/2020,Kuala Lumpur,1,9
5/3/2020,Labuan,0,0
5/3/2020,Putrajaya,0,2
6/3/2020,Johor,1,10
6/3/2020,Kedah,0,3
6/3/2020,Kelantan,0,0
6/3/2020,Melaka,0,0
6/3/2020,Negeri Sembilan,0,4
6/3/2020,Pahang,0,0
6/3/2020,Perak,0,0
6/3/2020,Perlis,0,0
6/3/2020,Penang,1,1
6/3/2020,Sabah,0,0
6/3/2020,Sarawak,0,0
6/3/2020,Selangor,21,49
6/3/2020,Terengganu,0,0
6/3/2020,Kuala Lumpur,5,14
6/3/2020,Labuan,0,0
6/3/2020,Putrajaya,0,2
7/3/2020,Johor,2,12
7/3/2020,Kedah,0,3
7/3/2020,Kelantan,0,0
7/3/2020,Melaka,0,0
7/3/2020,Negeri Sembilan,0,4
7/3/2020,Pahang,0,0
7/3/2020,Perak,0,0
7/3/2020,Perlis,0,0
7/3/2020,Penang,0,1
7/3/2020,Sabah,0,0
7/3/2020,Sarawak,0,0
7/3/2020,Selangor,8,57
7/3/2020,Terengganu,0,0
7/3/2020,Kuala Lumpur,0,14
7/3/2020,Labuan,0,0
7/3/2020,Putrajaya,0,2
8/3/2020,Johor,0,12
8/3/2020,Kedah,0,3
8/3/2020,Kelantan,0,0
8/3/2020,Melaka,0,0
8/3/2020,Negeri Sembilan,0,4
8/3/2020,Pahang,0,0
8/3/2020,Perak,0,0
8/3/2020,Perlis,0,0
8/3/2020,Penang,0,1
8/3/2020,Sabah,0,0
8/3/2020,Sarawak,0,0
8/3/2020,Selangor,6,63
8/3/2020,Terengganu,0,0
8/3/2020,Kuala Lumpur,0,14
8/3/2020,Labuan,0,0
8/3/2020,Putrajaya,0,2
9/3/2020,Johor,0,12
9/3/2020,Kedah,0,3
9/3/2020,Kelantan,0,0
9/3/2020,Melaka,0,0
9/3/2020,Negeri Sembilan,1,5
9/3/2020,Pahang,0,0
9/3/2020,Perak,0,0
9/3/2020,Perlis,0,0
9/3/2020,Penang,0,1
9/3/2020,Sabah,0,0
9/3/2020,Sarawak,0,0
9/3/2020,Selangor,11,74
9/3/2020,Terengganu,0,0
9/3/2020,Kuala Lumpur,6,20
9/3/2020,Labuan,0,0
9/3/2020,Putrajaya,0,2
10/3/2020,Johor,0,12
10/3/2020,Kedah,0,3
10/3/2020,Kelantan,0,0
10/3/2020,Melaka,0,0
10/3/2020,Negeri Sembilan,1,6
10/3/2020,Pahang,0,0
10/3/2020,Perak,0,0
10/3/2020,Perlis,0,0
10/3/2020,Penang,1,2
10/3/2020,Sabah,0,0
10/3/2020,Sarawak,0,0
10/3/2020,Selangor,10,84
10/3/2020,Terengganu,0,0
10/3/2020,Kuala Lumpur,0,20
10/3/2020,Labuan,0,0
10/3/2020,Putrajaya,0,2
11/3/2020,Johor,3,15
11/3/2020,Kedah,0,3
11/3/2020,Kelantan,0,0
11/3/2020,Melaka,1,1
11/3/2020,Negeri Sembilan,2,8
11/3/2020,Pahang,1,1
11/3/2020,Perak,0,0
11/3/2020,Perlis,0,0
11/3/2020,Penang,0,2
11/3/2020,Sabah,0,0
11/3/2020,Sarawak,0,0
11/3/2020,Selangor,9,93
11/3/2020,Terengganu,0,0
11/3/2020,Kuala Lumpur,4,24
11/3/2020,Labuan,0,0
11/3/2020,Putrajaya,0,2
12/3/2020,Johor,1,16
12/3/2020,Kedah,0,3
12/3/2020,Kelantan,0,0
12/3/2020,Melaka,0,1
12/3/2020,Negeri Sembilan,2,10
12/3/2020,Pahang,0,1
12/3/2020,Perak,0,0
12/3/2020,Perlis,0,0
12/3/2020,Penang,0,2
12/3/2020,Sabah,1,1
12/3/2020,Sarawak,0,0
12/3/2020,Selangor,3,96
12/3/2020,Terengganu,0,0
12/3/2020,Kuala Lumpur,2,26
12/3/2020,Labuan,0,0
12/3/2020,Putrajaya,0,2
13/3/2020,Johor,4,20
13/3/2020,Kedah,2,5
13/3/2020,Kelantan,3,3
13/3/2020,Melaka,0,1
13/3/2020,Negeri Sembilan,1,11
13/3/2020,Pahang,1,2
13/3/2020,Perak,2,2
13/3/2020,Perlis,1,1
13/3/2020,Penang,5,7
13/3/2020,Sabah,14,15
13/3/2020,Sarawak,0,0
13/3/2020,Selangor,1,97
13/3/2020,Terengganu,0,0
13/3/2020,Kuala Lumpur,3,29
13/3/2020,Labuan,2,2
13/3/2020,Putrajaya,0,2
14/3/2020,Johor,2,22
14/3/2020,Kedah,0,5
14/3/2020,Kelantan,0,3
14/3/2020,Melaka,5,6
14/3/2020,Negeri Sembilan,8,19
14/3/2020,Pahang,0,2
14/3/2020,Perak,0,2
14/3/2020,Perlis,1,2
14/3/2020,Penang,0,7
14/3/2020,Sabah,11,26
14/3/2020,Sarawak,6,6
14/3/2020,Selangor,6,103
14/3/2020,Terengganu,0,0
14/3/2020,Kuala Lumpur,2,31
14/3/2020,Labuan,0,2
14/3/2020,Putrajaya,0,2
15/3/2020,Johor,23,45
15/3/2020,Kedah,16,21
15/3/2020,Kelantan,3,6
15/3/2020,Melaka,7,13
15/3/2020,Negeri Sembilan,11,30
15/3/2020,Pahang,7,9
15/3/2020,Perak,10,12
15/3/2020,Perlis,4,6
15/3/2020,Penang,6,13
15/3/2020,Sabah,23,49
15/3/2020,Sarawak,14,20
15/3/2020,Selangor,18,121
15/3/2020,Terengganu,0,0
15/3/2020,Kuala Lumpur,45,76
15/3/2020,Labuan,2,4
15/3/2020,Putrajaya,1,3
16/3/2020,Johor,7,52
16/3/2020,Kedah,6,27
16/3/2020,Kelantan,12,18
16/3/2020,Melaka,1,14
16/3/2020,Negeri Sembilan,13,43
16/3/2020,Pahang,10,19
16/3/2020,Perak,6,18
16/3/2020,Perlis,3,9
16/3/2020,Penang,5,18
16/3/2020,Sabah,8,57
16/3/2020,Sarawak,0,20
16/3/2020,Selangor,24,145
16/3/2020,Terengganu,4,4
16/3/2020,Kuala Lumpur,23,99
16/3/2020,Labuan,0,4
16/3/2020,Putrajaya,3,6
17/3/2020,Johor,25,77
